cell_id,marker_a,marker_b,irregularity,growth_signal,actual_cancer,cancer_probability,decision
35,0.3852,0.368,0.3088,0.5662,False,0.4018,UNCERTAIN
36,0.1165,0.6404,0.3441,0.2298,False,0.3157,UNCERTAIN
37,0.6962,0.9206,0.8417,0.8503,True,0.8122,UNCERTAIN
38,0.8859,0.9159,0.6445,0.7171,True,0.8114,UNCERTAIN
39,0.8968,0.8377,0.831,0.5086,True,0.7912,UNCERTAIN
40,0.2988,0.3693,0.3276,0.4465,False,0.3517,UNCERTAIN
41,0.2555,0.1169,0.0829,0.2531,False,0.1859,PASS
42,0.0,0.1489,0.2029,0.125,False,0.1028,PASS
43,0.2833,0.3026,0.128,0.2764,False,0.2557,PASS
44,0.4199,0.3978,0.2522,0.3917,False,0.3752,UNCERTAIN
45,0.0,0.1302,0.3492,0.4091,False,0.1842,PASS
46,0.9948,0.5694,0.7499,0.6363,True,0.7678,UNCERTAIN
47,0.9077,0.4365,0.9451,0.6296,True,0.7417,UNCERTAIN
48,0.1225,0.2636,0.0845,0.4443,False,0.2145,PASS
49,0.9414,0.854,0.7903,0.7028,True,0.8416,UNCERTAIN
50,0.0,0.3816,0.0905,0.2696,False,0.1674,PASS
51,0.1421,0.3332,0.0,0.0224,False,0.1375,PASS
52,0.9267,0.7705,0.6645,0.8912,True,0.8281,UNCERTAIN
53,0.4227,0.0981,0.3452,0.3755,False,0.3166,UNCERTAIN
54,0.3026,0.2732,0.1677,0.3421,False,0.2762,PASS
55,0.1363,0.1559,0.3367,0.4156,False,0.2371,PASS
56,0.1879,0.2066,0.1801,0.1615,False,0.1858,PASS
57,0.6923,0.6762,0.718,0.7342,True,0.7018,UNCERTAIN
58,0.0927,0.3121,0.4299,0.4085,False,0.2782,PASS
59,0.1713,0.0949,0.2456,0.3418,False,0.2012,PASS
60,0.1148,0.065,0.4231,0.2195,False,0.185,PASS
61,0.3062,0.4277,0.0,0.1347,False,0.2411,PASS
62,0.5934,1.0,0.8002,1.0,True,0.8177,UNCERTAIN
63,0.2123,0.2185,0.1819,0.2592,False,0.2171,PASS
64,0.0,0.1522,0.0,0.3676,False,0.1116,PASS
65,0.0787,0.2022,0.2788,0.6283,False,0.2595,PASS
66,0.5899,0.7053,0.7792,0.9465,True,0.7279,UNCERTAIN
67,0.3367,0.2875,0.2733,0.1344,False,0.2712,PASS
68,0.0486,0.0047,0.3457,0.1472,False,0.1168,PASS
69,0.0624,0.1034,0.2077,0.3044,False,0.1501,PASS
70,0.8463,0.4254,0.8556,0.4971,True,0.6731,UNCERTAIN
71,0.101,0.3959,0.284,0.4658,False,0.2843,PASS
72,0.9642,0.6537,0.8176,0.8107,True,0.8265,UNCERTAIN
73,0.1636,0.7015,0.0,0.2274,False,0.2781,PASS
74,0.3409,0.1281,0.2987,0.171,False,0.2453,PASS
75,0.3658,0.1417,0.343,0.2888,False,0.2898,PASS
76,0.0219,0.362,0.1305,0.3172,False,0.1877,PASS
77,0.6084,0.7463,0.5733,0.5409,True,0.6223,UNCERTAIN
78,0.1839,0.0,0.0866,0.0,False,0.0817,PASS
79,0.3477,0.3102,0.0724,0.5196,False,0.3177,UNCERTAIN
80,0.3832,0.2158,0.406,0.2613,False,0.3215,UNCERTAIN
81,1.0,0.281,0.9987,0.7571,True,0.7714,UNCERTAIN
82,0.0331,0.342,0.0,0.1919,False,0.1355,PASS
83,0.2241,0.3139,0.1124,0.4865,False,0.2767,PASS
84,0.126,0.2815,0.1159,0.4849,False,0.2346,PASS
85,0.1785,0.2089,0.0,0.4148,False,0.1977,PASS
86,0.0578,0.7398,0.0909,0.4551,False,0.3144,UNCERTAIN
87,0.7936,0.3857,0.5453,0.0072,False,0.4847,UNCERTAIN
88,0.3456,0.3913,0.0458,0.3832,False,0.3046,UNCERTAIN
89,0.276,0.241,0.3562,0.257,False,0.2795,PASS
90,0.1218,0.6324,0.5994,0.5181,True,0.4242,UNCERTAIN
91,0.2415,0.1139,0.3861,0.5503,False,0.3003,UNCERTAIN
92,0.2263,0.0,0.3945,0.4657,False,0.2512,PASS
93,0.3436,0.1339,0.0074,0.1255,False,0.1803,PASS
94,0.4058,0.6945,0.4496,0.8032,True,0.5662,UNCERTAIN
95,0.2528,0.1371,0.2854,0.0,False,0.1798,PASS
96,0.1512,0.5305,0.2785,0.0,False,0.2412,PASS
97,0.7542,0.6884,0.5371,0.7187,True,0.6872,UNCERTAIN
98,0.8525,0.9168,0.9404,0.7983,True,0.8753,TARGET
99,0.7338,0.6366,0.6488,0.4856,True,0.6429,UNCERTAIN
100,0.3944,0.4043,0.1091,0.0261,False,0.2661,PASS
101,0.3282,0.1564,0.0,0.2329,False,0.2006,PASS
102,0.0,0.355,0.0569,0.03,False,0.1061,PASS
103,0.0819,0.303,0.3437,0.278,False,0.2288,PASS
104,0.1977,0.3332,0.2964,0.0,False,0.2118,PASS
105,0.42,0.4161,0.0,0.1841,False,0.2879,PASS
106,0.8556,0.9972,0.4671,0.9935,True,0.8409,UNCERTAIN
107,0.2338,0.0883,0.0029,0.0,False,0.1045,PASS
108,0.3675,0.6342,0.0,0.2988,False,0.3469,UNCERTAIN
109,0.3177,0.2303,0.326,0.1894,False,0.2719,PASS
110,0.422,0.0378,0.3495,0.2092,False,0.2689,PASS
111,0.4448,0.0576,0.3864,0.0,False,0.2474,PASS
112,0.5087,0.0,0.1808,0.3281,False,0.2798,PASS
113,0.0467,0.0604,0.5176,0.3048,False,0.1959,PASS
114,0.5443,0.3635,0.2654,0.6038,False,0.4552,UNCERTAIN
115,0.8016,0.8475,0.9722,0.7696,True,0.8408,UNCERTAIN
116,0.3213,0.3274,0.1122,0.1641,False,0.2496,PASS
117,0.1602,0.0,0.5271,0.3182,False,0.2251,PASS
118,0.2889,0.1299,0.0619,0.2959,False,0.2052,PASS
119,0.7156,0.7964,0.6034,0.9333,True,0.7569,UNCERTAIN
120,0.1598,0.0371,0.0,0.185,False,0.1022,PASS
121,0.3317,0.145,0.407,0.1145,False,0.2567,PASS
122,0.8189,0.724,1.0,0.7228,True,0.8122,UNCERTAIN
123,0.0805,0.4394,0.0,0.3385,False,0.2057,PASS
124,0.0758,0.1563,0.1094,0.5976,False,0.207,PASS
125,0.1523,0.2441,0.4882,0.0113,False,0.2143,PASS
126,0.9867,0.7591,0.654,0.738,True,0.8135,UNCERTAIN
127,0.0592,0.5105,0.5054,0.3778,False,0.325,UNCERTAIN
128,0.158,0.2126,0.2787,0.4747,False,0.2591,PASS
129,0.3241,0.1156,0.3138,0.4437,False,0.2938,PASS
130,0.6165,0.6746,0.655,0.8786,True,0.6911,UNCERTAIN
131,0.9066,0.7194,0.7084,0.6432,True,0.7675,UNCERTAIN
132,0.2595,0.6358,0.2541,0.4645,False,0.3935,UNCERTAIN
133,0.0,0.2308,0.3698,0.2251,False,0.1767,PASS
134,0.2836,0.2973,0.003,0.1926,False,0.2127,PASS
135,0.2337,0.1988,0.0,0.2138,False,0.1743,PASS
136,0.2328,0.3864,0.0,0.1627,False,0.2106,PASS
137,0.0,0.2037,0.356,0.0281,False,0.1277,PASS
138,0.1434,0.4732,0.2388,0.4716,False,0.3106,UNCERTAIN
139,0.1959,0.2835,0.3085,0.0543,False,0.212,PASS
140,0.0,0.3656,0.1972,0.2629,False,0.1834,PASS
141,0.8634,0.7948,0.6254,0.8498,True,0.7959,UNCERTAIN
142,0.0955,0.4288,0.2666,0.2379,False,0.2415,PASS
143,0.1809,0.5472,0.2907,0.0,False,0.2582,PASS
144,0.2258,0.4312,0.4377,0.1601,False,0.3064,UNCERTAIN
145,0.2555,0.2143,0.0,0.1215,False,0.1673,PASS
146,0.0713,0.2398,0.3174,0.405,False,0.2294,PASS
147,0.846,0.7307,0.6491,0.7582,True,0.7602,UNCERTAIN
148,0.2065,0.2453,0.2346,0.25,False,0.2305,PASS
149,0.1002,0.38,0.2919,0.1035,False,0.2092,PASS
150,0.2208,0.2922,0.5812,0.1491,False,0.2964,PASS
151,0.0,0.2661,0.3447,0.0,False,0.1354,PASS
152,0.5803,0.3051,0.1669,0.3095,False,0.3747,UNCERTAIN
153,0.3283,0.161,0.2766,0.1419,False,0.2389,PASS
154,0.2265,0.493,0.0,0.3954,False,0.2816,PASS
155,0.1697,0.148,0.286,0.4004,False,0.2337,PASS
156,0.1151,0.4234,0.2279,0.0796,False,0.2076,PASS
157,0.6178,0.2478,0.0957,0.4315,False,0.3836,UNCERTAIN
158,0.3327,0.2162,0.2744,0.0566,False,0.2367,PASS
159,0.0634,0.0778,0.3342,0.5549,False,0.2195,PASS
160,0.104,0.1859,0.217,0.0,False,0.1263,PASS
161,0.7246,0.5374,0.755,0.6817,True,0.6753,UNCERTAIN
162,0.8972,1.0,0.2579,0.6058,True,0.7368,UNCERTAIN
163,0.3645,0.1844,0.2153,0.157,False,0.2481,PASS
164,0.3162,0.4494,0.0,0.0,False,0.223,PASS
165,0.4828,0.278,0.2212,0.1293,False,0.3086,UNCERTAIN
166,0.0759,0.2709,0.2678,0.3874,False,0.2253,PASS
167,0.2897,0.1235,0.1817,0.332,False,0.235,PASS
168,0.2274,0.5903,0.1736,0.0164,False,0.2652,PASS
169,0.362,0.193,0.0467,0.1395,False,0.2122,PASS
170,0.6694,0.6312,0.8128,0.3228,True,0.6192,UNCERTAIN
171,0.8944,1.0,0.4839,0.687,True,0.7972,UNCERTAIN
172,0.2614,0.2703,0.0,0.3086,False,0.2208,PASS
173,0.0,0.1965,0.2882,0.2514,False,0.157,PASS
174,0.1497,0.0362,0.3734,0.5146,False,0.2391,PASS
175,0.1279,0.7593,0.0423,0.1309,False,0.2692,PASS
176,0.171,0.6422,0.0,0.3515,False,0.2907,PASS
177,0.9129,0.6114,1.0,0.7588,True,0.8241,UNCERTAIN
178,0.1484,0.309,0.122,0.3298,False,0.2196,PASS
179,0.0928,0.3071,0.2204,0.5122,False,0.2557,PASS
180,0.0,0.1394,0.0,0.3553,False,0.1059,PASS
181,0.2074,0.2915,0.4118,0.1578,False,0.2594,PASS
182,0.26,0.0904,0.2972,0.1935,False,0.2118,PASS
183,0.1298,0.317,0.2569,0.1294,False,0.2019,PASS
184,0.3767,0.1251,0.1418,0.0641,False,0.2043,PASS
185,0.6495,0.0,0.3253,0.4668,False,0.3858,UNCERTAIN
186,0.0635,0.0,0.0,0.0871,False,0.0397,PASS
187,0.1321,0.4447,0.4319,0.2072,False,0.2852,PASS
188,0.1695,0.4257,0.1906,0.4586,False,0.2956,PASS
189,0.5865,0.8156,0.7482,0.5586,True,0.6705,UNCERTAIN
190,0.2335,0.7439,0.1436,0.2335,False,0.3431,UNCERTAIN
191,0.1401,0.2713,0.0,0.0,False,0.1169,PASS
192,0.2087,0.0,0.1414,0.0,False,0.1013,PASS
193,0.4468,0.0,0.4616,0.6801,False,0.3847,UNCERTAIN
194,0.9261,0.962,0.6001,0.9474,True,0.8741,TARGET
195,0.3373,0.386,0.0344,0.267,False,0.2748,PASS
196,0.2206,0.1886,0.0,0.1461,False,0.1536,PASS
197,0.6529,0.8412,0.7864,0.6339,True,0.7229,UNCERTAIN
198,0.443,0.3084,0.0804,0.5349,False,0.3552,UNCERTAIN
199,0.2222,0.3438,0.1927,0.3439,False,0.271,PASS
200,0.3742,0.6501,0.5303,0.8702,True,0.5736,UNCERTAIN
201,0.186,0.1284,0.5227,0.4655,False,0.2948,PASS
202,0.0314,0.3486,0.5447,0.2642,False,0.2599,PASS
203,0.4726,0.0017,0.4776,0.5576,False,0.3729,UNCERTAIN
204,1.0,0.6271,1.0,0.9593,True,0.8986,TARGET
205,0.6948,0.8432,0.953,0.3696,True,0.7185,UNCERTAIN
206,0.1478,0.3834,0.1164,0.4823,False,0.2673,PASS
207,0.0,0.5628,0.3688,0.1889,False,0.2522,PASS
208,0.3155,0.2802,0.2706,0.0709,False,0.2487,PASS
209,0.2239,0.0391,0.3095,0.2794,False,0.2059,PASS
210,0.3609,0.2872,0.302,0.1383,False,0.2862,PASS
211,1.0,0.5382,0.5606,0.4826,True,0.6932,UNCERTAIN
212,0.9184,0.7426,0.5652,0.9705,True,0.8142,UNCERTAIN
213,0.5706,0.6181,0.7541,0.857,True,0.6764,UNCERTAIN
214,0.4525,0.2614,0.0365,0.4583,False,0.3227,UNCERTAIN
215,0.134,0.2664,0.1656,0.2516,False,0.1969,PASS
216,0.2834,0.309,0.064,0.0836,False,0.2059,PASS
217,0.0,0.1498,0.3065,0.0559,False,0.1099,PASS
218,0.0949,0.4557,0.0,0.2689,False,0.2009,PASS
219,0.8226,0.5033,0.7596,0.7199,True,0.7096,UNCERTAIN
220,0.1891,0.2633,0.0883,0.3735,False,0.2244,PASS
221,1.0,0.6812,0.6693,0.8067,True,0.8155,UNCERTAIN
222,0.4505,0.3508,0.1341,0.0,False,0.2722,PASS
223,0.2537,0.1717,0.2293,0.5199,False,0.2816,PASS
224,0.0612,0.0,0.4,0.2229,False,0.146,PASS
225,0.3947,0.1944,0.2442,0.044,False,0.2444,PASS
226,0.0,0.1845,0.2787,0.0,False,0.1019,PASS
227,0.5253,0.3851,0.0232,0.2956,False,0.3439,UNCERTAIN
228,0.1061,0.0,0.1941,0.6528,False,0.2065,PASS
229,0.9184,0.1696,0.1012,0.3831,False,0.4607,UNCERTAIN
230,0.1627,0.2492,0.0254,0.7586,False,0.2761,PASS
231,0.2796,0.2263,0.0938,0.385,False,0.2502,PASS
232,0.0541,0.4209,0.1032,0.0272,False,0.1502,PASS
233,0.3747,0.4802,0.1259,0.2404,False,0.3245,UNCERTAIN
234,0.0,0.0287,0.2667,0.3218,False,0.1249,PASS
235,0.1727,0.2953,0.2038,0.1027,False,0.1955,PASS
236,0.0334,0.1057,0.4267,0.4632,False,0.2161,PASS
237,0.8074,0.7021,0.7166,0.8188,True,0.7652,UNCERTAIN
238,0.9412,0.7124,0.6834,0.626,True,0.7694,UNCERTAIN
239,0.3967,0.3193,0.2848,0.4334,False,0.3623,UNCERTAIN
240,0.2645,0.4522,0.0201,0.0,False,0.2096,PASS
241,0.7294,0.9536,0.8393,0.8093,True,0.8234,UNCERTAIN
242,0.3452,0.6777,0.2467,0.0,False,0.3396,UNCERTAIN
243,0.2077,0.3926,0.2321,0.3309,False,0.2834,PASS
244,0.729,0.1565,0.2682,0.0368,False,0.3552,UNCERTAIN
245,0.0897,0.1436,0.3575,0.4413,False,0.2271,PASS
246,0.3679,0.0731,0.4677,0.2145,False,0.2835,PASS
247,1.0,0.4472,0.7638,0.8795,True,0.7905,UNCERTAIN
248,0.2718,0.4276,0.0381,0.4198,False,0.2936,PASS
249,0.6234,0.664,0.7305,0.9214,True,0.7146,UNCERTAIN
250,0.131,0.2457,0.2496,0.4506,False,0.2473,PASS
251,0.1795,0.3389,0.0,0.3214,False,0.2118,PASS
252,0.3537,0.0,0.2142,0.2415,False,0.2149,PASS
253,0.3854,0.3639,0.2479,0.3773,False,0.3509,UNCERTAIN
254,0.0367,0.365,0.2118,0.4832,False,0.2431,PASS
255,0.0,0.0,0.0061,0.1621,False,0.0336,PASS
256,0.2303,0.1725,0.096,0.0158,False,0.1461,PASS
257,0.7872,0.13,0.0,0.0947,False,0.3269,UNCERTAIN
258,0.1553,0.0317,0.5255,0.1152,False,0.1904,PASS
259,0.7442,0.1363,0.0192,0.2438,False,0.3471,UNCERTAIN
260,0.5804,0.4861,0.6364,0.6643,True,0.5848,UNCERTAIN
261,0.2347,0.4621,0.2877,0.3263,False,0.3205,UNCERTAIN
262,0.1504,0.1088,0.0381,0.2646,False,0.1404,PASS
263,0.5763,0.0397,0.6531,0.3133,False,0.4049,UNCERTAIN
264,0.3305,0.8195,0.9565,0.7126,True,0.6544,UNCERTAIN
265,0.411,0.169,0.4218,0.2539,False,0.3212,UNCERTAIN
266,0.8143,0.7173,0.8942,0.4952,True,0.7422,UNCERTAIN
267,0.0087,0.2278,0.0,0.1586,False,0.0917,PASS
268,0.3357,0.4269,0.4328,0.0882,False,0.3284,UNCERTAIN
269,0.7378,0.4653,0.0685,0.534,True,0.4951,UNCERTAIN
270,0.7913,0.8874,0.8491,0.7152,True,0.8117,UNCERTAIN
271,0.0009,0.0932,0.1561,0.5517,False,0.1652,PASS
272,0.8472,0.884,0.611,0.6533,True,0.7704,UNCERTAIN
273,0.6797,0.6311,1.0,0.2064,True,0.637,UNCERTAIN
274,0.7918,0.8314,0.6422,0.7315,True,0.7597,UNCERTAIN
275,0.2008,0.2604,0.1727,0.1595,False,0.2018,PASS
276,0.8618,0.8856,0.819,0.7402,True,0.8349,UNCERTAIN
277,0.9028,0.9493,1.0,0.645,True,0.8823,TARGET
278,0.265,0.3156,0.002,0.1575,False,0.2036,PASS
279,0.0985,0.1744,0.0,0.4738,False,0.1728,PASS
280,0.8915,0.8337,1.0,0.583,True,0.8371,UNCERTAIN
281,0.0979,0.5007,0.3371,0.3515,False,0.2972,PASS
282,0.2194,0.0741,0.1861,0.3409,False,0.2007,PASS
283,0.1706,0.3208,0.6238,0.4489,False,0.3544,UNCERTAIN
284,0.6866,0.8105,0.6413,0.6249,True,0.6962,UNCERTAIN
285,0.7128,0.628,0.5169,0.9227,True,0.6944,UNCERTAIN
286,0.9354,0.9735,0.7376,0.6847,True,0.8553,TARGET
287,0.6745,0.8726,0.7942,0.6469,True,0.7425,UNCERTAIN
288,0.8668,0.6975,0.589,0.5904,True,0.7136,UNCERTAIN
289,0.637,0.7372,1.0,0.5648,True,0.7202,UNCERTAIN
290,0.2457,0.3018,0.0,0.0,False,0.1614,PASS
291,0.2796,0.31,0.0,0.2706,False,0.2294,PASS
292,0.3932,0.4842,0.0025,0.6935,False,0.3979,UNCERTAIN
293,0.5718,0.1095,0.0,0.4846,False,0.3244,UNCERTAIN
294,0.9194,0.7817,0.7143,0.5414,True,0.7684,UNCERTAIN
295,0.1885,0.0392,0.2642,0.1486,False,0.1584,PASS
296,0.0668,0.0,0.1683,0.0552,False,0.0681,PASS
297,0.3156,0.154,0.0698,0.115,False,0.1859,PASS
298,0.5949,1.0,0.4631,0.6748,True,0.6858,UNCERTAIN
299,0.7425,0.8378,1.0,0.7608,True,0.8215,UNCERTAIN
300,0.1684,0.1558,0.0133,0.2226,False,0.145,PASS
301,0.4935,0.8403,1.0,0.8365,True,0.7501,UNCERTAIN
302,0.6072,0.3277,0.3777,0.1709,False,0.4042,UNCERTAIN
303,0.1538,0.4527,0.0,0.5146,False,0.27,PASS
304,0.2894,0.167,0.241,0.2376,False,0.2387,PASS
305,0.628,0.5296,0.5527,0.7027,True,0.6033,UNCERTAIN
306,0.188,0.4475,0.3091,0.2963,False,0.2988,PASS
307,0.4752,0.3255,0.4358,0.3667,False,0.4082,UNCERTAIN
308,1.0,1.0,0.8565,0.6195,True,0.8952,TARGET
309,0.32,0.5882,0.4517,0.0,False,0.3494,UNCERTAIN
310,0.8398,0.68,0.6774,0.7626,True,0.7519,UNCERTAIN
311,0.7155,0.8134,0.6176,0.2905,True,0.6354,UNCERTAIN
312,0.7936,0.8204,0.5051,0.7033,True,0.7246,UNCERTAIN
313,0.238,0.3567,0.0,0.4729,False,0.2671,PASS
314,0.6848,0.6579,0.5135,0.7654,True,0.6599,UNCERTAIN
315,0.3196,0.2799,0.0,0.1217,False,0.2062,PASS
316,0.3019,0.3719,0.5853,0.2656,False,0.3688,UNCERTAIN
317,0.6976,0.3878,0.7411,0.6548,True,0.6203,UNCERTAIN
318,0.8897,0.7374,0.6311,0.773,True,0.7766,UNCERTAIN
319,0.3845,0.39,0.3015,0.0,False,0.2924,PASS
320,0.5093,0.2306,0.0,0.1002,False,0.256,PASS
321,0.7839,0.8557,1.0,0.4465,True,0.7776,UNCERTAIN
322,0.3065,0.1579,0.2012,0.8562,False,0.3582,UNCERTAIN
323,0.8255,0.6538,0.7749,0.4182,True,0.691,UNCERTAIN
324,0.263,0.0,0.0,0.6603,False,0.2241,PASS
325,0.1059,0.2126,0.2881,0.2537,False,0.1986,PASS
326,0.3058,0.0306,0.2403,0.4853,False,0.2598,PASS
327,0.1342,0.3845,0.0886,0.224,False,0.2056,PASS
328,0.3367,0.504,0.4162,0.6403,False,0.4551,UNCERTAIN
329,0.4329,0.4209,0.343,0.1898,False,0.3633,UNCERTAIN
330,0.5483,0.0424,0.2556,0.0,False,0.2536,PASS
331,0.3791,0.3442,0.1576,0.3511,False,0.3205,UNCERTAIN
332,0.5198,0.0,0.1221,0.2901,False,0.2644,PASS
333,0.7888,0.6094,1.0,0.5874,True,0.7459,UNCERTAIN
334,0.4413,0.345,0.1393,0.6059,False,0.3898,UNCERTAIN
335,0.794,0.8292,0.6674,0.3631,True,0.6913,UNCERTAIN
336,0.5353,0.6823,0.8329,0.7821,True,0.6809,UNCERTAIN
337,0.8586,0.5156,0.6819,0.7746,True,0.7207,UNCERTAIN
338,0.4376,0.8684,0.6693,0.534,True,0.6109,UNCERTAIN
339,0.8845,0.7348,0.7792,0.6474,True,0.7786,UNCERTAIN
340,0.4629,0.5653,0.1651,0.3342,False,0.4032,UNCERTAIN
341,0.8017,0.6046,0.9237,0.2744,True,0.6714,UNCERTAIN
342,0.0,0.2737,0.0,0.0,False,0.0684,PASS
343,0.626,0.1459,0.3688,0.0621,False,0.3418,UNCERTAIN
344,0.7352,1.0,0.7511,0.4276,True,0.7431,UNCERTAIN
345,0.4628,0.2889,0.4261,0.4371,False,0.4069,UNCERTAIN
346,0.2379,0.0081,0.1621,0.083,False,0.1343,PASS
347,0.4526,0.1106,0.3566,0.4047,False,0.3383,UNCERTAIN
348,0.2168,0.205,0.1718,0.2898,False,0.2195,PASS
349,0.2033,0.3445,0.3726,0.4784,False,0.3275,UNCERTAIN
350,0.7739,0.7761,0.7015,0.7669,True,0.7586,UNCERTAIN
351,0.0121,0.3422,0.1161,0.4764,False,0.2083,PASS
352,0.0987,0.2762,0.3528,0.1718,False,0.2085,PASS
353,0.2548,0.5282,0.2312,0.0,False,0.2675,PASS
354,0.3426,0.0492,0.2624,0.1877,False,0.2222,PASS
355,0.8488,0.7026,0.8878,0.6301,True,0.7763,UNCERTAIN
356,0.4375,0.5535,0.0,0.3219,False,0.3559,UNCERTAIN
357,0.6975,1.0,0.5429,0.8651,True,0.7757,UNCERTAIN
358,0.2937,0.1095,0.1662,0.3474,False,0.2329,PASS
359,0.2406,0.4907,0.0,0.1795,False,0.2428,PASS
360,0.2536,0.8128,0.0,0.3681,False,0.3656,UNCERTAIN
361,0.256,0.1426,0.1829,0.0006,False,0.1619,PASS
362,0.0832,0.403,0.1205,0.5326,False,0.2605,PASS
363,0.4547,0.4117,0.1258,0.0863,False,0.3045,UNCERTAIN
364,0.2787,0.3433,0.3505,0.2306,False,0.2996,PASS
365,0.6527,0.8868,0.6865,0.7043,True,0.7283,UNCERTAIN
366,0.8449,0.434,0.3309,1.0,True,0.6704,UNCERTAIN
367,0.2876,0.2895,0.2385,0.3885,False,0.2984,PASS
368,0.3384,0.2932,0.1625,0.1555,False,0.2553,PASS
369,0.3697,0.2383,0.1445,0.2316,False,0.2642,PASS
370,0.0708,0.4166,0.3363,0.2508,False,0.2464,PASS
371,0.2469,0.0796,0.3449,0.2479,False,0.2249,PASS
372,0.1323,0.28,0.2793,0.0992,False,0.192,PASS
373,0.3844,0.3591,0.547,0.3616,False,0.4061,UNCERTAIN
374,0.7259,0.5924,0.9013,0.6963,True,0.7217,UNCERTAIN
375,0.3317,0.8517,0.0,0.5181,False,0.4326,UNCERTAIN
376,0.1618,0.1963,0.0376,0.2974,False,0.1727,PASS
377,0.3209,0.5907,0.4995,0.3447,False,0.4289,UNCERTAIN
378,0.8645,0.8012,0.9536,0.749,True,0.8434,UNCERTAIN
379,0.5173,0.2794,0.0,0.2791,False,0.3067,UNCERTAIN
380,0.9931,0.6713,0.8137,0.8689,True,0.8519,TARGET
381,0.3494,0.4248,0.1985,0.2192,False,0.312,UNCERTAIN
382,0.5843,0.1875,0.1796,0.0,False,0.2873,PASS
383,0.7737,0.507,0.8166,0.7939,True,0.7197,UNCERTAIN
384,0.2253,0.2353,0.2915,0.129,False,0.2218,PASS
385,0.1504,0.2219,0.4809,0.3046,False,0.2652,PASS
386,0.83,0.6913,0.8192,0.5566,True,0.7385,UNCERTAIN
387,0.0092,0.4994,0.2002,0.204,False,0.2089,PASS
388,0.315,0.139,0.2419,0.3114,False,0.2556,PASS
389,0.5414,0.3434,0.4281,0.4959,False,0.4601,UNCERTAIN
390,0.9324,0.6573,0.5184,0.4918,True,0.6927,UNCERTAIN
391,0.4415,0.2069,0.0994,0.3299,False,0.2921,PASS
392,0.0937,0.1684,0.0,0.2453,False,0.1239,PASS
393,0.6122,0.5259,0.5143,1.0,True,0.6486,UNCERTAIN
394,0.7429,0.8349,0.4962,0.8455,True,0.7371,UNCERTAIN
395,0.6019,0.9605,1.0,0.6568,True,0.7822,UNCERTAIN
396,0.1868,0.0594,0.2405,0.1976,False,0.1678,PASS
397,0.3111,0.084,0.6334,0.2794,False,0.3124,UNCERTAIN
398,0.3042,0.0,0.3868,0.0,False,0.1838,PASS
399,0.0538,0.4459,0.3628,0.4165,False,0.2862,PASS
400,0.6328,0.6512,0.5131,0.4691,True,0.5808,UNCERTAIN
401,0.4146,0.3141,0.0,0.0,False,0.2236,PASS
402,0.1253,0.441,0.0263,0.1051,False,0.1804,PASS
403,0.2562,0.3279,0.1816,0.5,False,0.308,UNCERTAIN
